"Cif (S)","Ventas (N)","Año ventas (S)","Capital social (N)","Cargo principal (S)","Cnae (S)","Domicilio social (S)","Email (S)","Empleados (N)","Fax (S)","Fecha fundacion (S)","Fecha ult. balance (S)","Forma juridica (S)","Localidad (S)","Nombre (S)","Nombre comercial (S)","Situacion (S)","Telefono (S)","Web (S)","tipo (S)"
"A01035930","7183817.51","2018","60120","AGUAYO HERVIAS, FRANCISCO JAVIER","4321 - Instalaciones eléctricas","CALLE LANDALUZEA, 10 - BJ","info@delvalleaguayo.com","39","[945290326]","1987-03-11","2018-12-31","SOCIEDAD ANONIMA","01015 VITORIA-GASTEIZ (Araba/Álava)","INSTALACIONES Y MONTAJES ELECTRICOS DEL VALLE AGUAYO SA","['INSTALACIONES Y MONTAJES ELECTRICOS DEL VALLE AGUAYO, S.A.']","Activa","[945290045, 945290658]","['www.delvalleaguayo.com', 'www.delvalleaguayo.es']","pequeña"
"A04029062","324481.32","2016","2028375","BUFETE LM Y ASOCIADOS SOCIEDAD LIMITADA PROFESIONA","4110 - Promoción inmobiliaria","POLIGONO INDUSTRIAL JUAIDA, 10","direccion@salcoa.es","12","[950272423]","1984-03-14","2016-12-31","SOCIEDAD ANONIMA","04240 VIATOR (Almería)","SALCOA SOCIEDAD ANONIMA (EN LIQUIDACION)","Desconocido","Disolución","[950272423]","['www.salcoa.es']","pequeña"
"A04442323","2964712.94","2018","301000","MORALES SANCHEZ, ALEJANDRO JOSE","4121 - Construcción de edificios residenciales","CALLE OCTAVIO AUGUSTO, 17 - PISO 1 D","Desconocido","23","[950573072]","2003-03-14","2018-12-31","SOCIEDAD ANONIMA","04700 EL EJIDO (Almería)","CONSTRUMAR CONSTRUCCIONES Y CONTRATAS, SA","Desconocido","Activa","Desconocido","Desconocido","pequeña"
"A05019948","2984169.07","2018","60101.21","POZO DIAZ, AMANCIO","4121 - Construcción de edificios residenciales","PLAZA SANTA ANA, 6","administracion@fuenco.es","25","[920256376]","1987-07-03","2018-12-31","SOCIEDAD ANONIMA","05001 AVILA (Ávila)","FUENCO SA","Desconocido","Activa","[920250462, 920255106]","['www.fuenco.es']","pequeña"
"A07414766","5268491.73","2017","64000","CARRERAS MEDINA, OSCAR","4121 - Construcción de edificios residenciales","CALLE BALTASAR MOYA, 30","central@phcarreras.com","39","[971745547]","1989-02-07","2017-12-31","SOCIEDAD ANONIMA","07600 PALMA (Baleares)","PAVIMENTOS Y HORMIGONES CARRERAS SA","Desconocido","Activa","[971266344]","['www.phcarreras.com']","pequeña"
"A08161150","3271351.88","2018","60200","MYPSA 98 SL REPR 143 RRM MARTI BERNAT IGNACIO MARIA","4321 - Instalaciones eléctricas","CALLE ONZE DE SETEMBRE, 4","martipala@martipala.com","35","[934487051]","1920-01-01","2018-12-31","SOCIEDAD ANONIMA","08903 L'HOSPITALET DE LLOBREGAT (Barcelona)","MARTI Y PALA SA","Desconocido","Activa","[934487050]","['www.martipala.com']","pequeña"
"A08246399","25609000","2018","402158","VIAS Y CONSTRUCCIONES SA","2599 - Fabricación de otros productos metálicos n.c.o.p.","CALLE CHILE, 25 - POL IND AZQUE PARCELAS 25-28","info@roura-cevasa.com","129","[914561996]","1970-02-16","2018-12-31","SOCIEDAD ANONIMA","28806 ALCALA DE HENARES (Madrid)","ROURA CEVASA SA","Desconocido","Activa","[914561990, 918881980, 918803196, 918811576]","Desconocido","mediana"
"A08325862","72216989","2018","1153943","HORST FOLGER, WERNER","2932 - Fabricación de otros componentes, piezas y accesorios para vehículos de motor","LUGAR LA XARMADA, S/N","info@fiberpachs.com","133","[938903754]","1973-09-27","2018-12-31","SOCIEDAD ANONIMA","08796 PACS DEL PENEDES (Barcelona)","FIBERPACHS SA","Desconocido","Activa","[938903599, 938171595, 938264025, 938264402]","['www.fiberpachs.com']","grande"
"A08332975","79213000","2018","3704648.14","MARTINEZ GARCIA, MARIA ASUNCION","3700 - Recogida y tratamiento de aguas residuales","CALLE SANTA LEONOR, 39","mgraub@adl-es.es","644","Desconocido","1974-01-07","2018-12-31","SOCIEDAD ANONIMA","28037 MADRID (Madrid)","AQUAMBIENTE SERVICIOS PARA EL SECTOR DEL AGUA SAU","Desconocido","Activa","[913589611, 933414021, 913621062, 966865491]","['www.aqualogy.net/es']","grande"
"A08523094","24304409.85","2018","60101.21","HERNANDEZ DUACASTELLA, MARC","4321 - Instalaciones eléctricas","PASAJE PLASMICA, S/N - NAVE 9","general@aluvisagrupo.com","95","[937119561]","1977-11-22","2018-12-31","SOCIEDAD ANONIMA","08940 CORNELLA DE LLOBREGAT (Barcelona)","ALUMBRADOS VIARIOS SA","Desconocido","Activa","[937119461]","['www.aluvisagrupo.com']","mediana"
"A09276528","160855779","2018","1803000","ANTOLIN ARRIBAS, ERNESTO","7219 - Otra investigación y desarrollo experimental en ciencias naturales y técnicas","CARRETERA MADRID-IRUN (BURGOS), KM 244,8","infodef@grupoantolin.com","355","[947477799]","1993-12-24","2018-12-31","SOCIEDAD ANONIMA","09007 BURGOS (Burgos)","GRUPO ANTOLIN-INGENIERIA SA","Desconocido","Activa","[947477700]","['www.grupoantolin.com']","grande"
"A13325329","4571430.47","2018","60200","MANZANEQUE MANZANEQUE, FRANCISCO JAVIER","4121 - Construcción de edificios residenciales","CALLE SAN LUIS, 10 - 1 B","emiliano.da@urbaconcriptana.com","15","[926589151]","2000-11-24","2018-12-31","SOCIEDAD ANONIMA","13610 CAMPO DE CRIPTANA (Ciudad Real)","URBACON CRIPTANA SA","Desconocido","Activa","[926562938]","Desconocido","pequeña"
"A15027147","10013319","2018","12985042.5","OTERO ALONSO, JOSE MANUEL","4211 - Construcción de carreteras y autopistas","CARRETERA DE LA ESTACION, S/N","info@puentes.com","61","[981691601]","1977-05-23","2018-12-31","SOCIEDAD ANONIMA","15888 OROSO (La Coruña)","PUENTES Y CALZADAS GRUPO DE EMPRESAS SA","Desconocido","Activa","[981688901]","['www.grupopuentes.com']","mediana"
