"Cif (S)","Ventas (N)","Año ventas (S)","Capital social (N)","Cargo principal (S)","Cnae (S)","Domicilio social (S)","Email (S)","Empleados (N)","Fax (S)","Fecha fundacion (S)","Fecha ult. balance (S)","Forma juridica (S)","Localidad (S)","Nombre (S)","Nombre comercial (S)","Situacion (S)","Telefono (S)","Web (S)","tipo (S)"
"A01319128","4447000","2016","4084110","Desconocido","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE PORTAL DE GAMARRA, 40 - BAJO","Desconocido","19","Desconocido","2001-04-26","2016-12-31","SOCIEDAD ANONIMA","01013 VITORIA-GASTEIZ (Araba/Álava)","AERNNOVA MANUFACTURING ENGINEERING SA (EXTINGUIDA)","Desconocido","Extinción","[945185600, 945129200, 945129270]","['www.aernnova.com']","pequeña"
"A02022879","3849962.33","2018","60120","FERNANDEZ BUSTILLO, EDUARDO JOSE","4299 - Construcción de otros proyectos de ingeniería civil n.c.o.p.","CARRETERA A-31, KM 594,40","administracion@los-serranos.com","18","[966612496]","1985-01-18","2018-12-31","SOCIEDAD ANONIMA","02640 ALMANSA (Albacete)","AGLOMERADOS ALBACETE SOCIEDAD ANONIMA","Desconocido","Activa","[966615242]","['www.eiffageinfraestructuras.com']","pequeña"
"A07035934","18459778.82","2017","1147622.7","ROXA SL","5510 - Hoteles y alojamientos similares","CALLE MANUEL AZAÑA, 38 - SEGUNDO","direccion@blauhotels.com","173","[971752903]","1972-07-20","2017-12-31","SOCIEDAD ANONIMA","07006 PALMA (Baleares)","URBANIZADORA CALA ESTANY SA","Desconocido","Activa","[971756043, 971757657, 971757654, 971757667]","['www.blauhotels.com']","pequeña"
"A07042435","8151863.08","2017","62608","SOLER TORRENS, PEDRO JUAN","4121 - Construcción de edificios residenciales","CALLE CAP ROIG (CAPDEPER), 1","coexa@coexa.es","92","[971565267]","1975-01-24","2017-12-31","SOCIEDAD ANONIMA","07580 CAPDEPERA (Baleares)","CONSTRUCCIONES EXCAVACIONES Y ASFALTOS SA","Desconocido","Activa","[971818000]","['www.coexa.es']","mediana"
"A08139339","10136542.9","2018","207946","AURETANAIS SL REPR 143 RRM MOLIST FELIPE MARIA GEMMA","5510 - Hoteles y alojamientos similares","CALLE ANGEL GUIMERA, 20 - LOC BJ","direccion@tahitiplaya.com","75","Desconocido","1972-06-22","2018-12-31","SOCIEDAD ANONIMA","08017 BARCELONA (Barcelona)","EDIFICACIONES DEL LITORAL SA","Desconocido","Activa","[934903419]","['www.tahitiplaya.com']","mediana"
"A08381261","13712976.12","2017","1504905.65","ANTON GARIJO, JOSE IGNACIO","4122 - Construcción de edificios no residenciales","AVENIDA BARCELONA, 109 - PLT 2","cpvsa@cpvsa.com","51","[934517199]","1975-05-12","2017-12-31","SOCIEDAD ANONIMA","08970 SANT JOAN DESPI (Barcelona)","CONSTRUCCIONES PEREZ VILLORA SA","Desconocido","Concurso","[902190909, 933732739]","['www.cpvsa.com']","pequeña"
"A08477341","15023334.28","2014","598021.4","MONTFORT EP GARCIA ISABELLE, MARIE ANDREE","4399 - Otras actividades de construcción especializada n.c.o.p.","CALLE DEL SOFRE, 18","rodisola@altrad.com","250","[977550432]","1977-12-21","2014-08-31","SOCIEDAD ANONIMA","43006 TARRAGONA (Tarragona)","ALTRAD RODISOLA SOCIEDAD ANONIMA","['RODISOLA, SOCIEDAD ANONIMA']","Cierre de hoja registral","[977550433, 977556821]","['www.altrad.com']","mediana"
"A12931432","4730999.3","2018","1000000","JEROME, ARNAUD","5223 - Actividades anexas al transporte aéreo","CARRETERA CV-13","info@aeropuertocastellon.es","13","[964324509]","2014-05-19","2018-12-31","SOCIEDAD ANONIMA","12181 BENLLOC (Castellón)","EDEIS AEROPUERTO DE CASTELLON SA.","Desconocido","Activa","[964578600, 964324510, 964324512, 964324513]","['www.aeropuerto-castellon.com']","pequeña"
"A14901342","3219510.91","2018","60120","LEON LOPEZ, JOSE MARIA","4299 - Construcción de otros proyectos de ingeniería civil n.c.o.p.","CALLE BLAS INFANTE, 2 - 1º B","a.martinez@argonsa.com","25","[957953479]","2010-09-15","2018-12-31","SOCIEDAD ANONIMA","14600 MONTORO (Córdoba)","ANDALUZA DE REPRESENTACION GESTIONES Y OBRAS SA","Desconocido","Activa","[957162802]","['www.argonsa.com']","pequeña"
"A15056849","2518811.55","2018","108182.18","GONZALEZ LOSADA JOSE, MANUEL ALVARO","4311 - Demolición","AVENIDA MAR, POL. IND DE A GANDARA- Nº 139","administracion@hjlosada.com","40","[981311468]","1983-04-18","2018-12-31","SOCIEDAD ANONIMA","15406 FERROL (La Coruña)","HIJOS DE JOSE LOSADA CANCELO SA","Desconocido","Activa","[981311031, 981311468]","['www.losadaexcavaciones.com']","pequeña"
