"Cif (S)","Ventas (N)","Año ventas (S)","Capital social (N)","Cargo principal (S)","Cnae (S)","Domicilio social (S)","Email (S)","Empleados (N)","Fax (S)","Fecha fundacion (S)","Fecha ult. balance (S)","Forma juridica (S)","Localidad (S)","Nombre (S)","Nombre comercial (S)","Situacion (S)","Telefono (S)","Web (S)","tipo (S)"
"A03466604","84635000","2018","1710000","LALUEZA LANAU, RAQUEL","4613 - Intermediarios del comercio de la madera y materiales de construcción","CALLE AURELIANO IBARRA, 16","atencionclientesscsc@agbar.es","71","[965255830]","1989-11-24","2018-12-31","SOCIEDAD ANONIMA","03009 ALICANTE/ALACANT (Alicante)","LOGISTIUM SERVICIOS LOGISTICOS SA.","['COMAGUA COMERCIAL DE AGUAS, S.A.']","Activa","[965227629, 933422000]","Desconocido","grande"
"A05010285","21099388.83","2017","4000000","FRANCISCO LUIS DIEZ, BERNAL","4211 - Construcción de carreteras y autopistas","CAMINO DE ARCAMADE, S/N","padecasa@padecasa.com","85","[916300331]","1984-04-17","2017-12-31","SOCIEDAD ANONIMA","05193 SANTA MARIA DEL CUBILLO (Ávila)","PADECASA OBRAS Y SERVICIOS SA","Desconocido","Activa","[916364240, 920204025, 920204171, 920204073]","['www.padecasa.com']","mediana"
"A08280448","53552313","2017","588223","JEAN FLESZAR, DAVID","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","PLAZA PAU, S/N - PLANTA 4ª","tpi@technip.com","549","[934742134]","1972-01-01","2017-12-31","SOCIEDAD ANONIMA","08940 CORNELLA DE LLOBREGAT (Barcelona)","TECHNIP IBERIA SA","['TECHNIP IBERIA, S.A.']","Activa","[934139800]","['www.technip.com']","grande"
"A15646599","154735777","2018","70205","COBRA INSTALACIONES Y SERVICIOS SA REPRES PJ CASTILLO LACABEX JOSE MARIA","4321 - Instalaciones eléctricas","CALLE CARDENAL MARCELO SPINOLA, 10","central@grupocobra.com","5","[914569450]","1998-05-08","2018-12-31","SOCIEDAD ANONIMA","28016 MADRID (Madrid)","COBRA INFRAESTRUCTURAS INTERNACIONAL SA.","Desconocido","Activa","[914569500, 914569550]","['www.grupocobra.com']","grande"
"A18524751","20333885.59","2016","75000","BARRANCO MELGUIZO, JUAN MANUEL","4399 - Otras actividades de construcción especializada n.c.o.p.","CALLE EL ROCIO, 6 - BAJO","info@heberger.es","15","[958797019]","1999-12-10","2016-12-31","SOCIEDAD ANONIMA","18650 DURCAL (Granada)","HEBERGER ESPANOLA S.A.","Desconocido","Activa","[958780437]","['www.heberger.es']","pequeña"
"A20040598","54745116","2018","251897","SUQUIA IRASTORZA, AITZIBER","4121 - Construcción de edificios residenciales","PASEO LUGARITZ, 21 - ED SUKIA","sukia@sukia.com","50","[943316464]","1974-01-01","2018-12-31","SOCIEDAD ANONIMA","20018 DONOSTIA/SAN SEBASTIAN (Gipuzkoa)","CONSTRUCCIONES SUKIA ERAIKUNTZAK SA","['CONSTRUCCIONES SUKIA ERAIKUNTZAK S.A.']","Activa","[943316868, 943359873, 943325573]","['www.sukia.com']","grande"
"A20072302","243854380.55","2018","8937960","MARCO DE LA PEÑA, LUIS PEDRO","4121 - Construcción de edificios residenciales","PASEO DE MIRAMON, 185","consamenabar@consamenabar.es","42","[943132468]","1981-07-06","2018-12-31","SOCIEDAD ANONIMA","20014 DONOSTIA/SAN SEBASTIAN (Gipuzkoa)","CONSTRUCCIONES AMENABAR SA","Desconocido","Activa","[943831100, 943248000, 943248059, 943248203]","['www.construccionesamenabar.com', 'http://construccionesamenabar.com/']","grande"
"A20095311","3867334","2017","59210","URIA LOPETEGUI, AITOR","1920 - Refino de petróleo","BARRIO LOIOLA (NUCLEO), 25 - BAJO","info@asfaltosurretxu.com","25","[943157214]","1985-04-01","2017-12-31","SOCIEDAD ANONIMA","20730 AZPEITIA (Gipuzkoa)","ASFALTOS URRETXU SOCIEDAD ANONIMA","Desconocido","Activa","[943157219, 943157071, 943722517, 943723257]","Desconocido","pequeña"
"A20147724","14435633","2018","150253","ALBERDI MUGICA, AITOR","4121 - Construcción de edificios residenciales","PLAZA BURDIÑATE, 6 - BAJO","artzamendi@artzamendi.com","63","Desconocido","1987-01-22","2018-12-31","SOCIEDAD ANONIMA","20570 BERGARA (Gipuzkoa)","CONSTRUCCIONES ARTZAMENDI SA","Desconocido","Activa","[943762758]","['www.artzamendi.com']","mediana"
"A20852034","3364000","2017","40543000","Desconocido","5221 - Actividades anexas al transporte terrestre","AVENIDA GENERAL PERON, 36 - PLT 1","rsanchez@empark.com","26","Desconocido","2004-07-22","2017-12-31","SOCIEDAD ANONIMA","28020 MADRID (Madrid)","EMPARK INFRAESTRUCTURAS SA. (EXTINGUIDA)","Desconocido","Extinción","[915468900]","['www.empark.com']","pequeña"
"A21250634","30549258","2017","34439101","BARCELO TOUS, ANTONIA","5510 - Hoteles y alojamientos similares","CALLE JOSEP ROVER MOTTA, 27","puntaumbriaresort@barcelo.com","367","[959495901]","1997-09-10","2017-12-31","SOCIEDAD ANONIMA","07006 PALMA (Baleares)","PUNTA UMBRIA TURISTICA SA","Desconocido","Activa","[971771700]","['www.barcelo.com']","mediana"
"A25701244","3951191.98","2018","62000","CALVIS ARNO, JORDI","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CARRETERA TARRAGONA","kreum@kreum.com","39","Desconocido","2009-12-21","2018-12-31","SOCIEDAD ANONIMA","25190 LLEIDA (Lérida)","KREUM SA","Desconocido","Activa","[973224515]","['www.kreum.com']","pequeña"
