"Cif (S)","Ventas (N)","Año ventas (S)","Capital social (N)","Cargo principal (S)","Cnae (S)","Domicilio social (S)","Email (S)","Empleados (N)","Fax (S)","Fecha fundacion (S)","Fecha ult. balance (S)","Forma juridica (S)","Localidad (S)","Nombre (S)","Nombre comercial (S)","Situacion (S)","Telefono (S)","Web (S)","tipo (S)"
"A01174515","8580631.64","2018","1637250","PEDREIRA IÑIGUEZ DE HEREDIA, RAFAEL","4299 - Construcción de otros proyectos de ingeniería civil n.c.o.p.","CALLE ZORROSTEA, 10","balgorza@balgorza.es","30","[945213039]","1995-04-26","2018-12-31","SOCIEDAD ANONIMA","01010 VITORIA-GASTEIZ (Araba/Álava)","PROMOCIONES Y PAVIMENTACIONES BALGORZA SA","Desconocido","Activa","[945225620]","['www.asfaltosfundidos.com']","pequeña"
"A06123947","646893.59","2018","60101.99","SANCHEZ CALVO, JOSE ANTONIO","4121 - Construcción de edificios residenciales","CALLE HOSPITAL, 31","constsur@gmail.com","11","[924536267]","1990-07-16","2018-12-31","SOCIEDAD ANONIMA","06225 RIBERA DEL FRESNO (Badajoz)","CONSTRUCCIONES SUR EXTREMEÑO SA L","Desconocido","Activa","Desconocido","['www.construcciones-surex.es']","pequeña"
"A06185938","3315081.15","2018","290409.05","SERRANO MARTINEZ ESTELLEZ, ANGEL","4299 - Construcción de otros proyectos de ingeniería civil n.c.o.p.","AVENIDA SANTIAGO RAMON Y CAJAL, 13","info@pueblayestellez.com","39","[924244275]","1993-05-24","2018-12-31","SOCIEDAD ANONIMA","06001 BADAJOZ (Badajoz)","PUEBLA Y ESTELLEZ SA","Desconocido","Activa","[924246924]","['www.pueblayestellez.com']","mediana"
"A07095367","4452927.13","2018","649101.6","SIMO VIDAL, FRANCISCO","4211 - Construcción de carreteras y autopistas","AVENIDA ISIDOR MACABICH, 24 - 1º 2ª","agloisa@agloisa.com","32","[971317325]","1987-03-16","2018-12-31","SOCIEDAD ANONIMA","07800 EIVISSA (Baleares)","AGLOMERADOS IBIZA SA","Desconocido","Activa","[971311859, 971317974, 971395158, 871208492]","['www.agloisa.es', 'http://www.agloisa.com']","pequeña"
"A07248925","1285786.23","2018","850229.09","CARBONELL ROSSELLO, SEBASTIAN","4211 - Construcción de carreteras y autopistas","PLAZA DE DALT, 1","pyocsa@pyocsa.com","18","[971459360]","1987-05-12","2018-12-31","SOCIEDAD ANONIMA","07519 MARIA DE LA SALUT (Baleares)","PAVIMENTACIONES Y OBRAS CARBONELL SA","['PYOCSA']","Activa","[971436654]","['www.pyocsa.com']","pequeña"
"A08112716","310903299.29","2018","4845262","VILLENA CONTRERAS, LUIS","4121 - Construcción de edificios residenciales","RONDA GUINARDO, 99","tcm@acsa.es","1090","[934463884]","1959-02-23","2018-12-31","SOCIEDAD ANONIMA","08041 BARCELONA (Barcelona)","ACSA OBRAS E INFRAESTRUCTURAS SA","['ACSA, OBRAS E INFRAESTRUCTURAS, S.A.U.']","Activa","[934463850, 934350112, 934357948, 934358567]","['www.acsa.es']","grande"
"A08714602","13016699.33","2018","60101.22","DI CIOMMO, TIZIANA","4321 - Instalaciones eléctricas","PASEO FERROCARRILS CATALANS, 97 - 117 DESP Nº22","incofamo@incofamo.com","14","[932740603]","1981-12-01","2018-12-31","SOCIEDAD ANONIMA","08940 CORNELLA DE LLOBREGAT (Barcelona)","INCOFAMO SA","Desconocido","Concurso","[932740501]","['www.incofamo.com']","pequeña"
"A08976185","4557811.19","2018","60200","MARTOS ARREBOLA, RAFAEL","1812 - Otras actividades de impresión y artes gráficas","CALLE CAN NEGOCI, 10 - 12","zr@zr-es.com","46","[937572557]","1985-03-01","2018-12-31","SOCIEDAD ANONIMA","08310 ARGENTONA (Barcelona)","AUTOADHESIVOS Z Y R SA","Desconocido","Activa","[937572118, 937991954, 937572127]","['www.zr-es.com']","pequeña"
"A10012359","13738794.5","2011","394256","LOPEZ MATEOS ORANTOS, ISIDRO ANTONIO","4299 - Construcción de otros proyectos de ingeniería civil n.c.o.p.","CALLE BORREGO, 2","araplasa@araplasa.com","40","[927421010]","1981-01-27","2011-12-31","SOCIEDAD ANONIMA","10600 PLASENCIA (Cáceres)","CNES ARAPLASA, SA","Desconocido","Activa","[927413553, 927418600]","['www.araplasa.com']","mediana"
"A10049799","1120928","2018","420709","VERGELES BLANCA, JOSE MARIA","4110 - Promoción inmobiliaria","PLAZA OBISPO GALARZA, 3 - 1","scintero@urvipexsa.es","19","[927214250]","1988-08-16","2018-12-31","SOCIEDAD ANONIMA","10004 CACERES (Cáceres)","URVIPEXSA SA","Desconocido","Activa","[927211929, 927214250]","['www.urvipexsa.es']","pequeña"
"A13042387","4574452.11","2017","1770000","FRUHBECK OLMEDO, GUILLERMO","2562 - Ingeniería mecánica por cuenta de terceros","CALLE ANTONIO LOPEZ, 249 - EDIF. VERTICE","icc-ingenieros@icc-ingenieros.es","71","[915001499]","1987-04-22","2017-12-31","SOCIEDAD ANONIMA","28041 MADRID (Madrid)","INSPECCION Y CONTROL DE CALIDAD INGENIEROS SA","Desconocido","Activa","[915001529, 912199288]","['www.icc-ingenieros.es']","mediana"
"A16013674","4111963.87","2018","241907.37","GISMERO EMPRESARIAL SL","4211 - Construcción de carreteras y autopistas","CALLE FRAY LUIS DE LEON ALTA, 2","gismero@cgismero.es","45","[967182518]","1982-12-31","2018-12-31","SOCIEDAD ANONIMA","16630 MOTA DEL CUERVO (Cuenca)","CONSTRUCCIONES GISMERO SA","['CONSTRUCCIONES GISMERO, S.A.']","Activa","[967180447]","['www.cgismero.es']","pequeña"
"A18023705","4286732.96","2017","10438000","ENTRENA AVILA, JOSE","4110 - Promoción inmobiliaria","AVENIDA DE LA CONSTITUCION, 29 - 31","mcmartinez@dipgra.es","25","[958292422]","1980-06-26","2017-12-31","SOCIEDAD ANONIMA","18014 GRANADA (Granada)","EMPRESA PROVINCIAL DE VIVIENDA SUELO Y EQUIPAMIENTO DE GRANADA SA","['VISOGSA']","Activa","[958292414, 958203650, 958292702]","['www.visogsa.com']","pequeña"
"A18083931","6605279.75","2015","194955","GARCIA AIVAR, JOAQUIN VICENTE","4211 - Construcción de carreteras y autopistas","CALLE BENJAMIN FRANKLIN, S/N - 2 PLT","info@helopav.com","25","[958819342]","1987-10-05","2015-12-31","SOCIEDAD ANONIMA","18100 ARMILLA (Granada)","HELOPAV SA (EN LIQUIDACION)","Desconocido","Disolución","[958167638, 958819342, 952038494]","['www.helopav.com']","pequeña"
"A18340604","7754323.09","2018","246279.5","GALINDO ORTIZ, MIGUEL ANGEL","4321 - Instalaciones eléctricas","CALLE GARRIDO ATIENZA, 13 - MANZANA 4 B PARC. 13","eigra@eigra.es","66","[958510367]","1993-06-18","2018-12-31","SOCIEDAD ANONIMA","18320 SANTA FE (Granada)","EIGRA FLUELEC SOCIEDAD ANONIMA.","Desconocido","Activa","[958510329, 902366925, 958149467, 958149466]","['www.eigra.es']","pequeña"
"A19014760","5381632.8","2018","60101.21","CERCADILLO CALO, JUAN JOSE","4121 - Construcción de edificios residenciales","PLAZA EUROPA, 3","hercesa1@gmail.com","110","[949366776]","1980-01-01","2018-12-31","SOCIEDAD ANONIMA","19002 GUADALAJARA (Guadalajara)","CONTRATISTAS REUNIDOS HERCESA SA","Desconocido","Activa","[949366772]","['www.solucesa.com']","mediana"
"A20783023","141041663","2018","20719000","PEREZ YEBOLES, SILVIA","5221 - Actividades anexas al transporte terrestre","BARRIO ASTI, 631","bidegi@bidegi.eus","20","[943210137]","2002-07-30","2018-12-31","SOCIEDAD ANONIMA","20800 ZARAUTZ (Gipuzkoa)","BIDEGI GIPUZKOAKO AZPIEGITUREN AGENTZIA-AGENCIA GUIPUZCOANA DE INFRAESTRUCTURAS SA","Desconocido","Activa","[943311301]","['www.bidegi.eus']","grande"
"A25562992","4206279.84","2018","84000","BERN GRAMUNT, MARIA LUISA","4312 - Preparación de terrenos","CARRETERA DEL DOLL, S/N - CR C13 KM 64","info@semaksa.com","29","Desconocido","2004-10-19","2018-12-31","SOCIEDAD ANONIMA","25615 CAMARASA (Lérida)","OBRES I CONTRACTES SEMAK SA.","Desconocido","Activa","[973730415]","Desconocido","pequeña"
"A27742931","4741632.57","2018","91064","PRIETO PRIETO, JOSE MANUEL","4321 - Instalaciones eléctricas","POLIGONO INDUSTRIAL A GRANXA, S/N","gestion@isega.es","64","[986093147]","2010-05-07","2018-12-31","SOCIEDAD ANONIMA","36400 O PORRIÑO (Pontevedra)","INSERPYME GLOBAL SA","Desconocido","Activa","[986288124]","['www.isega.com']","mediana"
"A28126274","59618896","2018","4086896","PEREA SAENZ DE BURUAGA, JAVIER","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE MAGALLANES, 3 - PLT 9 Y PLANTA 11","contabilidad@ghesa.es","588","[914458822]","1963-12-21","2018-12-31","SOCIEDAD ANONIMA","28015 MADRID (Madrid)","GHESA INGENIERIA Y TECNOLOGIA SA","Desconocido","Activa","[913098100, 913098140, 913098117]","['www.ghesa.es']","grande"
